window_start_date,test_date,mae,rmse,mape
2023-01-01,2024-01-01,7.738019630499399,10.023005910031586,8.277811130420098
2023-01-02,2024-01-02,8.023055085137385,10.048731412832629,8.515922438076306
2023-01-03,2024-01-03,8.486724888361461,11.63572502175131,9.805789353260492
2023-01-04,2024-01-04,9.634001888671586,12.447743625335368,10.97399291164079
2023-01-05,2024-01-05,6.286247406654829,9.13478034567525,7.150967315076843
2023-01-06,2024-01-06,6.646691673414381,9.49415284332739,7.612410435935042
2023-01-07,2024-01-07,6.706839263796754,9.789180779593046,7.462751732138321
2023-01-08,2024-01-08,15.453102229606886,16.69019144071548,14.631858250819516
2023-01-09,2024-01-09,13.126274082814495,14.093732314457515,12.194919510239878
2023-01-10,2024-01-10,11.83078246853948,12.556992448027168,10.93281848391002
2023-01-11,2024-01-11,7.644478699342666,8.372372564061038,7.051650693466558
2023-01-12,2024-01-12,3.9010901810374343,5.233473412962291,3.817495757843477
2023-01-13,2024-01-13,5.005049566224612,5.353785169056183,4.712773596959387
2023-01-14,2024-01-14,3.556431802317635,5.09624578585084,3.4578602883030745
2023-01-15,2024-01-15,6.681437331434815,8.950360313764307,6.755388937431671
2023-01-16,2024-01-16,6.690767271766818,8.779675799259905,6.709262985344472
2023-01-17,2024-01-17,6.911533435593613,8.582912006309542,6.878359800814623
2023-01-18,2024-01-18,6.491533882881541,7.936600641077361,6.419736331240615
2023-01-19,2024-01-19,4.459356546967137,5.437361075106765,4.17415660280717
2023-01-20,2024-01-20,4.787999334098627,5.917897003154564,4.588958562045688
2023-01-21,2024-01-21,5.186591777525493,6.053151190966904,4.901305303489422
2023-01-22,2024-01-22,5.762570069116618,7.2397961138367695,5.077445714524947
2023-01-23,2024-01-23,4.48057288806511,5.382408835968086,4.444296358498616
2023-01-24,2024-01-24,4.565704318699498,5.507399090377617,4.558568133344161
2023-01-25,2024-01-25,5.638268625028262,6.306489579668123,5.664983609956527
2023-01-26,2024-01-26,5.477889955045161,6.804973127213399,4.974546530643413
2023-01-27,2024-01-27,5.4317318023667855,6.197280541714741,5.368272655548103
2023-01-28,2024-01-28,5.09157940854258,5.815285418923023,4.912770929419617
2023-01-29,2024-01-29,4.197664119085867,5.903388290892856,3.81681221692904
2023-01-30,2024-01-30,4.385024676109241,5.2269442737257545,4.23095654521742
2023-01-31,2024-01-31,5.215429462946882,5.827295050086729,5.056569489851638
2023-02-01,2024-02-01,4.9929671277125305,5.967368437973154,4.657610201747854
2023-02-02,2024-02-02,7.913848092488864,10.205450216061658,8.327686845916809
2023-02-03,2024-02-03,7.484549991956034,9.374092176557514,8.023082251584066
2023-02-04,2024-02-04,6.9623387227155655,8.536576509089372,7.273866371633886
2023-02-05,2024-02-05,9.019095912488945,9.87418412711983,9.341484855501191
2023-02-06,2024-02-06,8.168559138630034,9.78431745573769,8.732942583768564
