window,mae,rmse,mape,mse
218,21.362486026344964,28.23451846660789,0.02858736624231235,797.1880330412221
219,23.71478691030388,34.1933657332742,0.03127538868520223,1169.1862601694502
220,30.968935448118128,39.27268970574116,0.03993710447619515,1542.3441567234274
221,31.2099844782616,39.58184398445416,0.040329749627604834,1566.7223732096702
222,29.94150517831846,38.92598352601481,0.03727723012801976,1515.2321934675765
223,41.89048522555621,55.44837502772995,0.05512973262042707,3074.5222932157862
224,51.266058384608414,58.86376603964973,0.06484668146967007,3464.942952370621
225,45.294441265787555,56.24607377854289,0.05873167183009455,3163.6208155012905
226,36.7268244116654,49.925903126850145,0.04926536702940554,2492.595803031625
227,42.90146887753466,54.30492839361576,0.05689813141361856,2949.025247835735
228,39.448962501600036,52.708792954676746,0.052389850726744604,2778.2168547389806
229,37.90033915306151,51.39753993796038,0.050258486815663604,2641.7071116742327
230,40.847195184412776,55.33286039032211,0.05386581042306974,3061.7254389748773
231,47.1007693634116,59.14641476410859,0.061563173141754066,3498.298379447963
232,42.61784296688946,53.00702531863826,0.056038512973665695,2809.744733130758
233,37.61891010737585,54.64557465158486,0.05107985247427491,2986.1388290019336
234,36.32997934752297,54.018729557479936,0.05035759230333794,2918.0231430041563
235,35.36582128647664,52.95987935867102,0.048925942113856424,2804.748821684989
236,37.188478222720846,53.05050729651199,0.05124394373654937,2814.3563244172715
237,26.16940679075656,34.03970631144826,0.0330191607863484,1158.7016057696505
238,39.07382157044697,48.76087066801236,0.05156547040033136,2377.6225083026284
239,33.37488118304824,46.50691867927561,0.04568495531135773,2162.893485040754
240,38.184850252088054,49.2140008140208,0.05150545502835605,2422.01787612244
241,37.60081626834936,48.7918615025976,0.05056367241050235,2380.6457488886654
242,37.453847831472295,49.747908662314885,0.05064507028820726,2474.8544162740245
243,34.70269538534659,46.885913972474285,0.04694027259227522,2198.288929034259
244,36.64861335476269,44.76690746756421,0.04913870805529113,2004.0760042094564
245,38.72045523094251,45.27377009771805,0.050227874978779403,2049.714258861029
246,36.154673571343096,43.85639068842459,0.04773272158874072,1923.3830042157351
247,32.135974881554525,42.66508885911793,0.04274569605145377,1820.3098073564288
248,35.67627615000257,43.61672588933834,0.04698958878043863,1902.4187773056772
249,35.66921881420821,44.19006753304695,0.0470305745048317,1952.7620685752504
250,42.245460542056435,46.13883246073879,0.05424385827341364,2128.7918608401237
251,34.65787791225029,39.84609712563979,0.043349964409164984,1587.711456145919
252,49.89792882641944,57.65896271646122,0.06496683070268623,3324.555981538265
253,41.21981052883565,53.335420319366044,0.05521797659183532,2844.667060643444
254,47.650672832382966,58.466553819057985,0.06215898727712228,3418.337915476804
255,55.500518499230324,63.84114407175387,0.07208852047001861,4075.6916763904337
256,61.253236675688804,66.21501230614612,0.07885090459090908,4384.427854703082
257,64.05606907076655,68.75400170109084,0.08230684657463774,4727.112749913603
258,56.735668926582775,60.69532451077707,0.07207150387299664,3683.922417468536
259,48.988858882159356,56.458548900630056,0.060881235422008455,3187.5677439648357
260,52.11567642628764,56.18248000371844,0.06407467053326654,3156.471059368222
261,41.032054020161304,45.857565784136234,0.05111685427621497,2102.9163396463823
262,39.96240945947466,45.656344926887016,0.049428932863033494,2084.5018320828817
263,34.75444666608592,44.44393093817404,0.04346876710962673,1975.2629972371838
264,35.90123255817861,45.042246106807106,0.04498432468295953,2028.80393434618
265,30.09946872954572,42.2848778408869,0.037152876533087596,1788.0108940187279
266,37.422693778182634,47.986412158501636,0.04692109934252098,2302.6957518455933
267,29.49454625795118,41.318102367033376,0.038430265617299134,1707.185583212649
268,30.596725407418358,39.54664482898415,0.04006213533408011,1563.937117229819
269,35.82874067893116,45.02214069030205,0.046164591574932974,2026.993152337352
270,38.584899566036874,45.65074948421863,0.049762676503533,2083.9909284708874
271,38.22159182821161,45.72995431193139,0.04912848579967662,2091.228721371332
272,34.029419586729695,42.87447964723003,0.043863040758396483,1838.221005020742
273,41.04013588387084,48.781506557331966,0.05269114610731753,2379.6353820030213
274,38.86955902771404,48.156559056484284,0.050696883273032234,2319.0541801606582
275,40.91387690381456,50.581749002936974,0.052363700955537426,2558.5133321961152
276,49.74566981683371,58.71638115916289,0.06354219777353469,3447.613416428099
277,55.97858962831578,63.73650322724672,0.0693012515034709,4062.3418436368315
278,58.29605830241538,65.2236005047538,0.07234749453092947,4254.118062803721
279,51.97967982985426,59.06110944395077,0.06343072212968418,3488.214648750331
280,55.511386543319205,61.67032351121613,0.06706483662809307,3803.2288019780576
281,53.20286630172421,59.65491301960331,0.06436960304106791,3558.708647376437
282,46.665355888517446,51.96663009981028,0.05695819754086296,2700.530643930508
283,43.11590477716374,49.33869354772926,0.053152032459718154,2434.306680996741
284,43.49165166997011,49.590686607634495,0.05420725006462521,2459.236198216619
285,41.62136989096965,48.15304653172311,0.05179279572428584,2318.715890286291
286,33.853800062672136,42.722382615977395,0.04124823188330289,1825.2019763859678
287,39.058509212016766,48.58330371424118,0.04828455335248078,2360.337399790201
288,48.028727173898005,55.097336902615204,0.057203965625189195,3035.716533760283
289,37.48399658004026,44.86060811613496,0.04554836996784249,2012.4741605494341
290,46.47649122222664,52.839955616185584,0.055471259828971595,2792.0609095204627
291,56.0645349293535,58.911514184546924,0.0672441188914364,3470.566503516073
292,58.009047589570905,59.53176545548139,0.06917371231543867,3544.0310982464475
293,62.46173398850129,65.66214243405797,0.07346980426829365,4311.516949030517
294,65.38670068816805,67.18491720300104,0.07758107970914763,4513.813099574104
295,49.66738247449621,52.44221080416206,0.060944146852439963,2750.1854740281715
296,45.73863741702197,48.75551902414131,0.05664653554596182,2377.100635313405
297,40.43315800203657,45.08865639511401,0.05001041853561427,2032.9869355166552
298,37.352463960207146,45.039984539897354,0.0489884589351815,2028.600207354193
299,45.60955814585657,50.710124428727,0.05874025304162518,2571.5167195769745
300,41.94025875050819,45.54325994152912,0.052901184919468776,2074.188526101691
301,44.5607646967038,48.375509224605715,0.05539313191723834,2340.189892739913
302,38.65683399834701,42.76048776671764,0.04908580332131662,1828.4593140476086
303,44.70196323462468,48.68644000205652,0.055777075153684144,2370.3694400738495
304,48.192711466731986,52.001445527098866,0.05993698941734026,2704.150336907831
305,42.94023948626039,46.17363304284159,0.0526946601959456,2132.0043883749927
306,43.29633265934472,48.18440532896418,0.054137267038203325,2321.736916905912
