Date,Forecast,Lower_CI,Upper_CI,Is_Holiday,Is_Surge
2026-01-25,2536.0,2318.0,2755.0,0,0
2026-01-26,3255.0,3017.0,3493.0,0,0
2026-01-27,2823.0,2570.0,3075.0,0,0
2026-01-28,2776.0,2507.0,3046.0,0,0
2026-01-29,2742.0,2448.0,3035.0,0,0
2026-01-30,2620.0,2309.0,2930.0,0,0
2026-01-31,2463.0,2137.0,2789.0,0,0
